      15,      15,      15,      15,      15,      15,      15,      15,      15,      15,      15,      15
      57,      57,      57,      57,      57,      57,      57,      57,      57,      57,      57,      57
       2,       2,       2,       2,       2,       2,       2,       2,       2,       2,       2,       2
       3,       3,       3,       3,       3,       3,       3,       3,       3,       3,       3,       3
      30,      30,      30,      30,      30,      30,      30,      30,      30,      30,      30,      30
      58,      58,      58,      58,      58,      58,      58,      58,      58,      58,      58,      58
     343,     343,     343,     343,     343,     343,     343,     343,     343,     343,     343,     343
       4,       4,       4,       4,       4,       4,       4,       4,       4,       4,       4,       4
     188,     188,       6,     188,     188,       6,     188,     188,       6,     188,       6,    2995
     299,     299,     299,     299,     299,     299,     299,     299,     299,     299,     299,     228
       6,       6,    2018,       6,       6,     188,       6,       6,     188,       6,     188,     340
    2018,    2018,     188,    2018,    2018,    2018,    2018,    2018,    2018,    2018,    2018,    1654
      53,      53,      53,      53,      53,      53,      53,      53,      53,      53,      53,    2273
     295,     295,     295,     295,     295,     295,     295,     295,     295,     295,     295,    3482
      49,      49,     625,      49,      49,     475,      49,      49,     475,     475,     475,    4247
     475,     475,     475,     475,     475,     625,     475,     475,      49,      49,     625,    5217
     138,     625,      49,     138,     625,      49,     625,     625,     625,     625,      49,       6
     625,     138,      29,     625,     138,     138,     138,     138,     138,     138,     138,     299
     938,     938,     138,     938,     938,      29,     938,     938,     938,     938,     938,     188
      29,      29,     938,      29,      29,     938,      29,      29,    2995,      29,      29,    2018
     534,     832,     832,     534,     534,     832,     534,     832,      29,     832,     832,      53
    1539,    1539,    1539,    1539,    1539,    1539,    1539,    1539,     228,    1539,    1539,     295
     832,     534,      13,     832,     832,     534,     832,     534,     340,     534,     534,     475
     175,     175,     175,     175,     175,     175,     175,     175,    1654,     175,     175,     625
      13,      13,     242,      13,      13,     242,      13,      13,    2273,      13,    2995,      49
      54,      54,     534,      54,      54,      13,      54,      54,    3482,     242,      13,     138
     242,     242,     121,     242,     242,      54,     242,     242,    4247,      54,     242,     938
     174,     174,      54,     174,     174,     121,     174,     174,    5217,     121,      54,      29
     121,     121,     775,     121,     121,     174,     121,     121,     832,     174,     121,     832
     775,     775,     111,     775,     775,     775,     775,     775,    1539,     775,     228,    1539
     111,     111,      77,     111,     111,     111,     111,     111,     534,     111,     340,     534
     836,     641,     174,     836,     836,      77,     836,     836,     175,    2995,    1654,     175
     641,     836,     150,     641,     641,     150,     641,     641,      13,     836,    2273,     242
      33,      33,     641,      33,      33,     641,      33,      33,     242,      77,    3482,      13
      77,      77,     124,      77,      77,     836,      77,      77,      54,     641,    4247,      54
     855,     855,     216,     855,     855,     124,     855,     855,     121,      33,    5217,     121
      51,     124,      51,      51,     124,    2995,     124,     124,     174,     124,     174,     775
     124,      51,     588,     124,      51,      51,      51,      51,     775,     216,     775,     174
    1039,    1039,     394,    1039,    1039,     592,     150,     150,     111,     150,     111,     111
     150,     150,     836,     150,     150,     228,    1039,    1039,     641,     228,     836,      77
     592,     588,     451,     592,     588,     340,     588,     588,     836,     340,      77,     150
     588,     592,     592,     588,     592,    1654,     592,     592,      77,    1654,     641,     216
      43,      43,      33,      43,      43,    2273,      43,      43,      33,    2273,      33,     641
     503,     503,    1218,     503,     503,    3482,     503,     216,     124,    3482,     216,     836
     394,     394,     439,     394,     394,    4247,     394,     394,      51,    4247,     124,     124
    1218,    1218,     503,    1218,    1218,    5217,     216,      87,    1290,    5218,     150,      51
